Superficie,Prezzo
60,338611
70,655033
140,5697001
150,7011305
79,534887
85,1030123
150,6890359
90,1361138
100,1207587
110,2026445
125,3127194
126,3528785
135,4411500
140,5661362
123,3135527
146,6105080
124,3350405
89,771146
90,1042049
91,1217170
92,1035011
93,808904
94,1179682
95,1525701
97,1038626
99,1561257
100,1371406
93,987193
101,1593292
102,1243235
103,1331667
104,1908716
105,2019033
106,1897239
107,2045152
108,2038514
109,1852477
110,1842697
111,2037694
112,2117458
113,2135111
114,2212108
115,2504200
116,2535191
117,2915846
118,2759512
119,2674724
120,3194647
121,3289156
122,3328975
123,2934224
124,3397386
125,3446759
126,3311943
127,3808961
128,4114610
129,4156359
130,4406116
131,4089878
132,4424258
133,4453990
134,4258396
135,4905115
136,4983273
137,5147098
138,5181878
139,5333095
140,5530276
141,5673485
142,5881791
143,5564428
144,5677582
145,5946836
146,6407717
147,6675157
148,6652648
149,7242573
60,254312
61,73853
62,216324
63,84668
64,471617
65,322855
66,416038
67,411677
68,424333
69,635173
70,274341
71,801912
72,458869
73,567539
74,901375
75,364503
76,721904
77,813202
78,481535
79,723869
80,474608
81,422183
82,864142
83,891841
84,912191
85,1040941
86,1007033
87,851645
88,815497
89,618371
90,892526
